poem_id	gpt-3.5-turbo	gpt-4	gpt-4-turbo	gpt-4o	gpt-4o-mini	mistral-small	call_type	mistral-medium
0001							humor	5423.064470291138
0001							continuation	2823.0278491973877
0001							author	556.1938285827637
0002							humor	4185.980558395386
0002							continuation	2139.3978595733643
0002							author	453.5868167877197
0003							humor	5581.948041915894
0003							continuation	1351.2225151062012
0003							author	487.7009391784668
0004							humor	5230.443954467773
0004							continuation	1859.2398166656494
0004							author	880.9969425201416
0005							humor	5851.305961608887
0005							continuation	1021.9748020172119
0005							author	477.6873588562012
0006							humor	6514.487504959106
0006							continuation	2241.1670684814453
0006							author	450.7627487182617
0007							humor	5904.940843582153
0007							continuation	2054.3153285980225
0007							author	1128.0255317687988
0008							humor	4864.197254180908
0008							continuation	2457.5390815734863
0008							author	564.450740814209
0009							humor	4337.379217147827
0009							continuation	2801.4283180236816
0009							author	520.9207534790039
0010							humor	9207.709789276123
0010							continuation	705.127477645874
0010							author	506.44636154174805
0011							humor	5719.117164611816
0011							continuation	5953.519105911255
0011							author	578.1283378601074
0012							humor	5576.398611068726
0012							continuation	2331.554174423218
0012							author	482.5425148010254
0013							humor	4562.676668167114
0013							continuation	4792.114973068237
0013							author	574.9714374542236
0014							humor	5172.628164291382
0014							continuation	2925.532579421997
0014							author	1051.1653423309326
0015							humor	5498.030424118042
0015							continuation	2929.5828342437744
0015							author	540.316104888916
0016							humor	6035.354375839233
0016							continuation	4396.070241928101
0016							author	768.1858539581299
0017							humor	4824.7644901275635
0017							continuation	2438.6825561523438
0017							author	487.5340461730957
0018							humor	5884.200096130371
0018							continuation	1398.547649383545
0018							author	1214.0233516693115
0019							humor	5364.951133728027
0019							continuation	2739.6888732910156
0019							author	642.9438591003418
0020							humor	5679.55470085144
0020							continuation	2413.0780696868896
0020							author	528.6357402801514
0021							humor	4986.133098602295
0021							continuation	4273.0302810668945
0021							author	716.5191173553467
0022							humor	4840.177774429321
0022							continuation	1484.9143028259277
0022							author	660.4268550872803
0023							humor	5220.5610275268555
0023							continuation	1880.6018829345703
0023							author	1667.8485870361328
0024							humor	6512.68196105957
0024							continuation	4546.856880187988
0024							author	588.1333351135254
0025							humor	4827.0423412323
0025							continuation	2493.0977821350098
0025							author	766.6866779327393
0026							humor	6495.237827301025
0026							continuation	2215.22855758667
0026							author	1019.5932388305664
0027							humor	4933.806896209717
