	claude-3-5-haiku-latest
completamente	4.8609279703346635
soneto	3.9614210162149157
ADJ	3.076067620057057
estructura	2.6145039959437826
profundamente	2.416092650582153
genera	2.3452768782533737
usa	2.3077753549228364
expresiones	2.217910411082225
elemento	2.147469165884765
poético	1.97153740855317
poeta	1.9453816770209913
culto	1.8302646024267464
alejándose	1.8157568082528803
juega	1.805677526630955
paródico	1.7246955419670562
mediante	1.7195704974051016
transmite	1.6775325443716398
existencial	1.6442105230208701
generan	1.63508681679366
casi	1.6279618563675382
ingenioso	1.6183095979058604
comicidad	1.55473635038302
estilo	1.5527063051041923
lenguaje	1.5163978433802106
referencias	1.4939847455746136
dramático	1.4279706284817482
último	1.4165000014459566
elegante	1.414593067516063
tradicional	1.3765390790649044
barroco	1.3679822282011846

	claude-3-5-sonnet-latest
ADJ	4.0971069715583015
soneto	3.6084615627846928
NUM	2.7859758458242347
utiliza	2.313117642409467
solemne	2.2582368033998215
emplea	2.2432104623768683
culmina	2.2251890035162787
construye	2.154695095011514
creando	1.9813970926899058
sino	1.8850064852005377
varios	1.8180963273497803
irónicamente	1.7199583304951
final	1.4967983088805037
autor	1.4894440368356596
primero	1.4831626801975073
metáforas	1.4581499384943954
empleando	1.4503309057528637
título	1.436680382157884
oro	1.420897708704797
referencias	1.3660600250194765
satíricos	1.3276279719519055
cualquier	1.318211675336699
especialmente	1.3150853735163295
toda	1.2561817801511792
narrador	1.2539501730309397
elevados	1.2184041454643673
contraste	1.1690069947885777
siglo	1.1103382971027072
poéticas	1.101485274647039
amoroso	1.0959477384345293

	deepseek-chat
centrándose	4.226381189477106
presentado	3.369917784221038
comedia	3.0256134431423756
junto	2.626045009649668
temas	2.4151894277698043
juicio	2.3950222550941604
intención	2.2786661045443557
lejos	2.170553025488651
ser	2.162011922577985
tener	2.132697764959571
lenguaje	2.1192119002899927
capa	2.0364425932751797
percibido	1.9299525404453632
ADP	1.9178038554578762
considera	1.8015368935640308
subjetiva	1.7812972766092314
juguetón	1.6874788314907314
típicos	1.6721197133748713
haciendo	1.5731265309956073
presenta	1.5443040758834745
especialmente	1.5274501332631931
ligereza	1.4969354247847007
través	1.4948825997671584
CCONJ	1.4753000310700808
utilizado	1.4074759907820544
descripción	1.3911393076837346
mención	1.3727669508002318
satírico	1.3199341804154057
combinación	1.294189346993192
refuerza	1.278710134447611

	gemini-15-pro
describe	4.2392316781637245
yuxtaposición	3.6139001631870316
crea	3.220074797193951
sugieran	2.980655370294933
hablante	2.8817433171290854
imagen	2.5823374941496957
expresa	2.5303983085314563
centra	2.404589515895746
finalmente	2.3576583611240975
contribuye	2.2586996895768454
propio	2.1214366400258013
efecto	1.7945107625423726
provoquen	1.7608633975644477
refuerza	1.6564112757052516
incluso	1.5829054687376043
sino	1.5726756532319963
humorísticos	1.5067875824483454
posee	1.5043853944384047
elevado	1.450082277886399
general	1.3956322661682043
PROPN	1.3815910237524092
intensidad	1.3724924585976617
reverente	1.311803394816539
lenguaje	1.238026536940134
casi	1.2291848778637913
si	1.1644472213371653
contribuyen	1.1319691592569654
DET	1.1189277762589949
resumen	1.1000221700441075
VERB	1.0952544250425809

	gemini-20-flash
comicidad	3.70211135549439
incongruencia	2.98705482155264
