	claude-3-5-haiku-latest
completamente	4.2561073664606885
soneto	3.753385766487617
ADJ	3.511989560524796
estructura	2.5772115504717346
genera	2.5090210841131184
profundamente	2.1690410899360533
culto	2.1000436487685397
expresiones	1.9557990207464429
comicidad	1.9362997087283906
poeta	1.9113264087458783
usa	1.8850399717805444
elemento	1.853439809794997
alejándose	1.8405400059307573
existencial	1.8164833548054922
casi	1.7216338403986775
lenguaje	1.6618321800408467
referencias	1.6437918910751979
transmite	1.5813667672299025
juega	1.5480066904558958
poético	1.52625591749742
estilo	1.4319989412301386
paródico	1.396223507442247
mediante	1.3945089493077993
generan	1.3828657892695964
:	1.3810339882536138
dramático	1.360891026356632
tradicional	1.3472033256054348
ingenioso	1.3451852050704718
surge	1.29027593383168
mordaz	1.2375211842413991

	claude-3-5-sonnet-latest
)	5.166238628568777
(	4.49763455935763
ADJ	3.5125719401988653
soneto	2.3921666688610195
culmina	1.8207850662050635
solemne	1.795878883526835
sino	1.659916353120679
emplea	1.5679531159247626
construye	1.555699609855455
creando	1.5390533365186299
SYM	1.5208557745397813
final	1.5205036080915517
metáforas	1.472504551992836
utiliza	1.3766604733084482
NUM	1.3664965986240218
empleando	1.3243623219611171
elevado	1.2531620964710575
formal	1.200368026197358
oro	1.1560035647528755
PUNCT	1.147300782501008
primero	1.1365592240567068
irónicamente	1.1304911279693908
satíricos	1.1275314825725193
elevados	1.0856248012529142
PROPN	1.0850862120155724
cualquier	1.0746928783908698
revela	1.0623942759275704
amoroso	1.0545057343307984
culminando	1.051691947473774
/	1.026748164365892

	deepseek-chat
centrándose	4.024484631399794
presentado	2.903036695837725
comedia	2.665173111205404
intención	2.4781215431334043
lenguaje	2.3131927730154627
temas	2.3121240777108563
tener	2.21898101822208
juicio	2.178088297574966
junto	2.1497697329288363
considera	2.0713804717726267
,	1.9757904306761822
ser	1.8767302410490114
subjetiva	1.8547265118144691
comicidad	1.7525179826161592
típicos	1.7061054110249028
lejos	1.7010800216818156
SYM	1.63315234653077
ADP	1.6112093561845435
percibido	1.5409342226425746
capa	1.5218011154193662
especialmente	1.426048694585529
presenta	1.3958352767071474
'	1.3738853173356336
satírico	1.3414328652945242
descripción	1.3276035921416278
refuerza	1.3244743104242935
haciendo	1.2906602645245169
alineados	1.2741041353057494
exagerado	1.2716747416550414
combinación	1.2520435308378925

	gemini-15-pro
""""	5.425509934694807
 	4.264429530563026
SPACE	2.651758579742896
PUNCT	2.4701625368362174
hablante	2.1647173439031313
sugieran	2.12064647000978
describe	2.0331976402955845
yuxtaposición	1.7405359965316942
elevado	1.5876753173290983
.	1.5717229459596576
expresa	1.5296330345806801
centra	1.2219646313192474
propio	1.1705009468039498
provoquen	1.0940194766323237
crea	0.9678641159464109
reverente	0.9262899698539829
intención	0.8919716372955391
imagen	0.8746115176420989
figura	0.8067625424137459
divina	0.7832135189345615
ensalzar	0.7782145510839282
DET	0.7724482455492231
admiración	0.7334407798082933
expectativa	0.6779714915905952
general	0.6310023234134566
si	0.6306038473792998
PROPN	0.62278337012782
asombro	0.6215785859939884
representa	0.6141850415119916
intensidad	0.6123515664907994

	gpt-35-turbo
exageración	3.232642893722908
además	2.7510568492265457
trata	2.448937996769014
cómico	2.4041998305728707
humorístico	2.3828772597331267
exagerada	2.3827049476817943
hacen	1.9877908887546998
descripción	1.8242247206800903
debido	1.77206051388095
resulta	1.712401848202966
exagerado	1.598935835428573
ADP	1.4731469168885085
forma	1.4603370690090494
resultar	1.4544910318028095
sarcástico	1.44607351878873
poema	1.4102543116707313
sentimientos	1.4077838926486208
toque	1.3947146853485384
combinación	1.3262502284964175
SCONJ	1.26779781888411
lector	1.2508546694655898
comparación	1.1674920405201512
absurda	1.1633676232458208
tono	1.144491334481894
lectores	1.1248513562598004
idea	1.1141084055207413
manera	1.0433884724667335
historia	1.0414706592839313
situación	1.0126698736974513
juega	0.983912793879823

	gpt-41
,	6.214081908329759
recursos	3.229006003903986
”	2.873581390267498
“	2.8588820016399126
considerarse	2.2760455172176206
comicidad	2.265623381508406
(	2.163627077294548
:	2.114851310277374
PUNCT	1.9046180930427816
burla	1.8794414084409141
remate	1.7679278003830816
juegos	1.7312814161732784
principalmente	1.7219980863031028
emplea	1.693035100521173
absurdas	1.6722339710229948
ADJ	1.6688633213879787
)	1.637562217730907
lírico	1.5902033142991547
poesía	1.4806407310145262
ironía	1.4581291936703213
literarios	1.4241308855546015
irónico	1.4060311193587123
parodia	1.4039553522409183
tampoco	1.3410299042483291
palabras	1.334231687660468
ello	1.3330365041595158
solemne	1.3321572646988866
texto	1.3018961617290887
presentado	1.2649161609350756
hablante	1.2330730970899908

	gpt-4o
.	2.7166279984902104
formal	2.1761696146787926
solemnes	1.8650549249539077
contenido	1.835071355653901
lugar	1.7131216867007433
