	claude-3-5-haiku-latest
completamente	3.003101508275233
soneto	2.098855679436728
genera	1.9320815619027487
estructura	1.8453014759997308
profundamente	1.762462759427584
expresiones	1.762262702333569
elemento	1.6268506231880218
lenguaje	1.4574023509981051
transmite	1.4015416315498626
culto	1.3010882750142685
generan	1.2591318728033396
juega	1.1923196546437311
estilo	1.190985668403098
poético	1.1834093145085185
usa	1.153285137073269
poeta	1.1166369148865973
sutil	1.068753746986383
elegante	1.0682682147766205
existencial	1.0635877711846722
sarcástico	1.0478352901668884
mediante	1.0131820997361822
varios	1.0060961982794572
paródico	1.0044707675169005
ingenioso	1.0013950701145908
descripción	0.9972703682331431
adicional	0.9897349157241332
épico	0.9818884341819151
mordaz	0.9648111535361524
casi	0.9574962844516215
barroco	0.9574392314841869

	claude-3-5-sonnet-latest
NUM	1.9679731747949154
construye	1.779244794687735
soneto	1.7426469334005672
culmina	1.724221576446756
solemne	1.71395798872652
emplea	1.627204452356779
final	1.5949659600034838
ADJ	1.468363538735556
utiliza	1.4459452475205916
título	1.4391981651722943
creando	1.3973542395231586
cualquier	1.3554804944340133
sino	1.2567669251144697
autor	1.227795708845857
irónicamente	1.1569360086165292
metáforas	1.1538675058409182
primero	1.133866164860655
narrador	1.1134640925792436
empleando	1.0756142520838725
crean	1.065572630926147
sentimental	1.0576800291434991
toda	1.04725597835505
paradoja	1.0057924369663394
conclusión	1.0013314698435125
relación	0.9930903321146659
tradicionalmente	0.9831388164587735
elevado	0.9763450895527125
especialmente	0.9732124837976569
va	0.9682977326330295
rompe	0.9666148550065725

	deepseek-chat
centrándose	3.0742246160114926
presentado	2.600431180056269
juicio	2.0714335470262637
especialmente	1.8824226904491408
lejos	1.779788277465253
capa	1.710846992254574
después	1.6897193321969428
percibido	1.682285370676813
lenguaje	1.6386746860340433
junto	1.6109752042702699
utilizando	1.4406533365303553
mención	1.4388709636054717
subjetiva	1.437296515572954
intención	1.4328670797911274
ADP	1.3675930535917398
considera	1.362938644620182
temas	1.3460452892537225
ligereza	1.3420170681823715
tener	1.334322231772712
comedia	1.3291434458495204
haciendo	1.2867263874595962
presenta	1.2811546686726505
lírica	1.269577698500779
recurso	1.2646962383023408
exagerados	1.2505538069194546
satírico	1.2434757905515508
aborda	1.2238853721393204
juguetón	1.2052754669013241
CCONJ	1.1909866806579121
describir	1.1549649223131504

	gemini-15-pro
describe	3.026955506637492
yuxtaposición	2.606951088544879
sugieran	2.4175460867759946
crea	2.305387428482271
expresa	2.099955449839286
contribuye	2.0581269995208245
propio	1.9807035536943456
provoquen	1.9403066800058837
centra	1.9121568876575281
hablante	1.747210880443049
imagen	1.649365536072054
lenguaje	1.57740170397739
posee	1.5477100567739757
incluso	1.506190745087948
finalmente	1.4682176530677118
efecto	1.4420351617897675
sino	1.3981332964396715
contribuyen	1.3976211510841055
refuerza	1.1996945255265732
remata	1.1941104965863965
humorísticos	1.1868248720725116
casi	1.1532890307915888
reverente	1.1509914382448418
gratitud	1.1390127219696753
repetición	1.1379551214283574
burlón	1.1326100629735272
presentando	1.1026771944989096
trivialidad	1.0460324012909286
arte	1.0456606359582525
VERB	1.0070605859103097

	gemini-20-flash
comicidad	2.358255419868184
reside	2.2753919554724185
considera	2.2426315335295444
incongruencia	1.9613068911197113
inherentemente	1.9242413127050007
interpretarse	1.792667418057395
cómicos	1.6679937525963022
debido	1.6444557754659603
grandiosidad	1.641149196248694
resumen	1.6105532523486619
idealización	1.5892767175570859
aunque	1.5877021840572596
determinar	1.5074310980259464
grandilocuencia	1.4904317869326822
subjetivo	1.4837386216146027
intensifica	1.4727184369803659
contrastar	1.4666218622577192
surge	1.4365763123309776
exageración	1.4293807708849278
general	1.4114041708929048
rima	1.39830208277506
inicialmente	1.307427297226367
primer	1.3047784879626318
depende	1.2999109396362853
inicial	1.296028259399706
diferentes	1.2625237073626234
principalmente	1.2474046604543958
posiblemente	1.2078647170042465
establece	1.2053036800775718
explora	1.1569814262413103

	gpt-35-turbo
humorístico	2.2442954577014644
además	1.7627324401763647
cómico	1.6245270421865965
considera	1.5691778472801556
exageración	1.4988209211321086
trata	1.4285118713652423
hacen	1.4007427768747938
sarcástico	1.3915760951064349
percepción	1.3186069331117096
resultar	1.249003538242561
reflexiva	1.212201993356469
resulta	1.141298040481618
surrealista	1.0986494155322317
ADP	1.0904289617254275
toque	1.061256327247943
sentimientos	1.0460350313940046
personas	1.0423246238865544
exagerado	0.9898171527884115
exagerada	0.9631794909200029
sarcástica	0.9621641956145283
forma	0.9438004741915951
utilizadas	0.9090509838036225
trascendental	0.8975257193455974
composición	0.8580262603949108
dan	0.8415897552928635
