	claude-3-5-haiku-latest
completamente	3.951910612525164
soneto	3.3352826677665686
ADJ	3.2717423752378787
genera	2.453555111960766
estructura	2.2323951800226562
comicidad	2.144282302603995
culto	2.0363063977030174
profundamente	1.9755902111619026
poeta	1.958457696457871
expresiones	1.8751444176193506
existencial	1.8596767130109693
casi	1.831523203388824
usa	1.7768644496580444
:	1.7211190099513791
alejándose	1.7167324149448786
elemento	1.6349995953270144
referencias	1.6344351469559004
lenguaje	1.542244546498309
transmite	1.487818957391402
juega	1.46252259141185
mediante	1.4320692118998941
paródico	1.378719424667275
estilo	1.3663686747109236
poético	1.3180476242477621
dramático	1.29970597265586
tradicional	1.2832147048186966
surge	1.261880862341493
generan	1.23880013471632
ingenioso	1.2249090865361496
efecto	1.1798187115204193

	claude-3-5-sonnet-latest
)	5.20037112916113
(	4.72290717820718
ADJ	3.225926448386245
soneto	1.9710626347913591
culmina	1.692911715102502
solemne	1.690005726387553
emplea	1.645909048494291
sino	1.583638717671611
PUNCT	1.56113727432997
elevado	1.5195488488117759
final	1.489057472528758
construye	1.4267171063912325
utiliza	1.4064415547822398
empleando	1.367238881275761
creando	1.3006520312441916
metáforas	1.2469534016807393
NUM	1.2412739825929222
formal	1.2010815623099
oro	1.1495721045226048
SYM	1.0996928354667386
primero	1.0819626090690742
amoroso	1.0724531460103113
satíricos	1.0133825190020376
:	1.0015138341034224
irónicamente	0.9977920284009253
elevados	0.9366658236195736
PROPN	0.9177851129754021
culminando	0.906617373532983
revela	0.9004607680898249
rompe	0.898779827088263

	deepseek-chat
centrándose	3.5971654279646104
presentado	2.9508753958237834
,	2.7798094524573087
intención	2.5434196063211196
comedia	2.3077451852795385
temas	2.151316285930158
lenguaje	2.1150114646131537
junto	2.0221330443782963
juicio	1.957144581102342
comicidad	1.930482116819341
tener	1.9213776646434668
considera	1.7217007769852233
subjetiva	1.6936685641801488
ADP	1.686804251428777
típicos	1.6180405862590825
lejos	1.6047650060715912
ser	1.530895250383489
capa	1.4597714485205369
percibido	1.4260482925111653
lingüísticos	1.3407112195017508
SYM	1.2900035839548285
satírico	1.2868897811689053
exagerado	1.2864700388405959
especialmente	1.2824354451999866
refuerza	1.2336184636604723
lector	1.2306335768850978
juguetón	1.2279902763610748
alineados	1.220282817465026
hacia	1.1842254577773004
descripción	1.183202079045975

	gpt-35-turbo
exageración	3.150230519597032
cómico	2.3828189787658545
humorístico	2.312328851264354
además	2.237131726568267
trata	2.1517195928743864
ADP	1.793970721910679
exagerada	1.7915227209231974
hacen	1.7407058315127393
descripción	1.7123823875686512
forma	1.5701089596922466
debido	1.5553845075801584
resultar	1.537095273330402
exagerado	1.489437026611319
resulta	1.3536347495555094
lector	1.275017824733399
toque	1.246679968198383
considera	1.207943164691564
comparación	1.1717459734349083
SCONJ	1.1433412922751063
sarcástico	1.1417669276209559
lectores	1.109858810087134
sentimientos	1.067547931291693
reflexiva	1.0286794152687284
poema	1.0077076764690818
composición	0.973269034113749
tono	0.9248754029650834
idea	0.9174337347519008
considerado	0.8968173157668405
juega	0.8886162255622873
absurda	0.8838143994312851

	gpt-4o
.	2.9049241737060467
debido	1.8002641369370032
NOUN	1.7235399033281202
formal	1.6997696112773626
sorpresa	1.6771832545705248
contenido	1.6304869759204808
solemnes	1.608197505793914
cómica	1.5469206260996478
humor	1.4714548056526455
razones	1.4667142003623277
características	1.4601104174136705
VERB	1.4412299957729113
CCONJ	1.429947446890362
solemne	1.388011196406356
serio	1.3791966396388708
elección	1.370248982563342
entretenimiento	1.330286503017374
remate	1.307987971833404
ironía	1.295396888423762
clásica	1.2680630640802868
manera	1.2368980969108345
palabras	1.220571168676264
situaciones	1.209921476189549
emplea	1.1514549021306524
incongruencia	1.1485620675662824
destacando	1.1331603234907042
cómicas	1.1128255262827569
común	1.097056981189582
ridículas	1.092725440691059
lugar	1.0840188941016773

	gpt-4o-mini
,	4.438725073300729
PRON	3.794796062217251
presenta	3.356685600958437
enfoque	2.6726803774003285
través	2.5483460282323382
aunque	2.4979368301578218
resumen	2.1684119427083406
.	2.0432976133584537
DET	1.9326429741983755
ADP	1.8556546840352726
provoca	1.8471560176312063
hablante	1.8103034964622264
risa	1.7961895474082188
uso	1.7883555423832387
aleja	1.7045406147871487
así	1.6230960244367827
imágenes	1.6074321103860476
evoca	1.5719818088909718
vida	1.5664453890046446
crítica	1.5507669760328786
'	1.5295783672946848
VERB	1.505062460931326
naturaleza	1.4838080062889945
belleza	1.481043580161876
;	1.4698899642139858
lucha	1.4689123710935625
invita	1.445744529884698
contexto	1.4334867986610569
situaciones	1.3951705855940089
obra	1.3537127253960806

	mistral-large-latest
debido	4.111402570481772
mención	2.6748649097139587
razón	2.41070175152945
toque	2.4001762861047946
.	2.334210827955456
AUX	2.228594779968004
temática	1.9028187304617383
principal	1.8682544364236393
embargo	1.7457180411580269
primer	1.736676817941253
resumen	1.68921607178706
profundidad	1.6533190299701936
interpretados	1.6532352279158429
PUNCT	1.6507482587276616
poema	1.4527134833125124
estrofa	1.4383133173657883
atmósfera	1.4279640845582615
idea	1.379561370644192
irónico	1.3726820096402355
añade	1.335649497869202
crea	1.2652438780917439
vista	1.2477306071742993
ligero	1.2452096696457917
humorísticos	1.2425313616558162
'	1.238828167916527
difícil	1.2265626846619264
añaden	1.1803835566231404
refuerza	1.168195647891272
reflexivos	1.158330318503386
melancólica	1.156894399016285

	mistral-small
contiene	3.8951820211339325
diseñado	3.1176112647678376
contrario	2.341289343469638
ADV	2.251966340635787
intencionalmente	2.1235987238183776
sátira	2.062587433104843
titulado	2.0562203845770073
aunque	1.9771456445996125
ser	1.968198530248655
poema	1.9541416083413357
palabra	1.8039165419293928
lugar	1.7576985729580024
AUX	1.6525890331869377
diversión	1.6420360288496518
rima	1.6304994946627989
tradicional	1.5563701474909168
destinado	1.5480275226005082
métrica	1.533271608042075
cómicos	1.4771240054121315
CCONJ	1.344909241667215
hablante	1.341692066318118
considerarse	1.2635352667658826
chistes	1.247733299126654
gracioso	1.1770026317460727
ningún	1.131814053934859
poético	1.112907511554354
considerar	1.0986187713727862
comedia	1.0632531093101194
convencional	1.043104344214282
poesía	1.0418887852825143

